episode,tag,env_module,env_class,model,success,crashed,timed_out,reward,goal_distance,final_phase,steps,completion_time_s,min_ttc,commit_step,commit_time_s,wait_time_before_commit_s,max_speed_kmh,mean_speed_kmh,max_accel_mps2,min_accel_mps2,mean_abs_accel_mps2,max_abs_jerk_mps3,p90_abs_jerk_mps3,mean_abs_jerk_mps3
0,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-149.2144688468834,4.769776821136475,DECISION,213,10.65,nan,11,0.6000000000000001,0.6000000000000001,35.919974567820816,11.919039567298196,14.140801517911301,-26.6196789677016,3.4355233972119334,576.9501913101334,85.05773746706673,40.58279797223953
1,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-172.66501191747668,16.17148208618164,CLEAR,175,8.75,nan,11,0.6000000000000001,0.6000000000000001,25.724935375525202,9.579477250404244,14.007894408535329,-72.30027295658269,3.3057462614360373,1448.4494534773946,109.00772047224343,49.650371259888146
2,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-178.14462397179284,17.518152236938477,CLEAR,182,9.1,nan,12,0.65,0.65,23.449485077747806,8.494756505958117,14.234237141333729,-113.533231581122,3.33347377181425,2209.19372273039,126.6787254529292,55.641189751945525
3,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-172.96189584104462,14.54753303527832,CLEAR,184,9.200000000000001,nan,11,0.6000000000000001,0.6000000000000001,25.89313733309112,9.837950766211257,14.003115710629249,-26.692228391928126,3.10213652668828,549.1358584891696,168.34734446110986,55.71480227594807
4,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-149.4430715112116,4.868737697601318,DECISION,207,10.350000000000001,nan,11,0.6000000000000001,0.6000000000000001,32.37061544800665,12.218357220379982,14.007658426515448,-25.763751706874594,3.044086741874465,411.56609560925074,95.49833641210257,40.30178159046386
5,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-150.17773285839598,4.723472595214844,DECISION,224,11.200000000000001,nan,11,0.6000000000000001,0.6000000000000001,35.464066789082246,11.354462634142731,14.525696192652934,-24.284078106664637,2.9410885042360566,517.5702682886174,89.30959959887116,43.98704289699801
6,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-159.47021391730294,4.653213024139404,DECISION,206,10.3,nan,11,0.6000000000000001,0.6000000000000001,35.4854789601279,12.354734397661396,14.317027329342356,-26.975315741851347,2.9144709615344038,583.026419688077,62.67192421696977,37.10180309952949
7,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-167.71489605716886,15.801900863647461,CLEAR,178,8.9,nan,11,0.6000000000000001,0.6000000000000001,27.47942948155142,9.654537288907019,13.999358806325617,-86.0945485667206,3.3701595875207957,1641.088771250442,126.07137091593492,53.59439641127731
8,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,True,False,False,-133.99832736162682,4.569149017333984,DECISION,211,10.55,nan,11,0.6000000000000001,0.6000000000000001,37.0097440468462,12.099734232426322,14.115428282321073,-26.23308986508734,3.1626917161976937,454.7564096644254,85.6001759470085,42.021743249671395
9,left_full_30k_det,ppo_env_left_full,CarlaPPOEnvTouchPhase,results/ppo/left_full_30k/ppo_left_full_30k.zip,False,True,False,-170.53736401432695,17.06262969970703,CLEAR,178,8.9,nan,11,0.6000000000000001,0.6000000000000001,25.874982086136463,9.047151734913676,14.020778631796272,-94.4513670268775,3.0617660294886684,1818.1858686654368,80.31317470051445,51.3926722443619
