episode,tag,env_module,env_class,model,success,crashed,timed_out,reward,goal_distance,final_phase,steps,completion_time_s,min_ttc,commit_step,commit_time_s,wait_time_before_commit_s,max_speed_kmh,mean_speed_kmh,max_accel_mps2,min_accel_mps2,mean_abs_accel_mps2,max_abs_jerk_mps3,p90_abs_jerk_mps3,mean_abs_jerk_mps3
0,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-263.40401363907944,17.58497428894043,CLEAR,381,19.05,nan,76,3.85,3.85,18.76081510927972,4.0966638123883685,14.741416204448274,-64.7065792238413,3.615727326560962,1327.5564247445698,228.2704002896767,66.28195105898119
1,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-248.81743906370292,4.714641571044922,DECISION,425,21.25,nan,66,3.35,3.35,27.477608308447625,6.027279992495932,14.794850763001431,-26.285465384575016,3.673967110112287,612.4742332973244,217.83956214473395,60.529569445131884
2,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-224.74172309800394,17.94175148010254,CLEAR,322,16.1,nan,72,3.6500000000000004,3.6500000000000004,19.24038129035663,4.813761944301856,13.214184865800473,-57.19166358408093,2.692381300248881,1160.999540562862,78.47403218346975,44.33793277181415
3,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-219.08153967878178,4.697360038757324,DECISION,377,18.85,nan,77,3.9000000000000004,3.9000000000000004,27.369615352182585,6.778865430517076,17.929990906488477,-26.326822171487912,3.216867345452342,601.2656558423538,119.44254056673446,50.87945984434505
4,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-242.39506730149424,17.855836868286133,CLEAR,331,16.55,nan,78,3.95,3.95,18.950474650426248,4.643863392174848,18.541935886512288,-26.881764136893985,3.578057579870069,608.8128339195172,197.16208313475366,57.91119927904859
5,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-212.78412257229945,4.930209636688232,DECISION,358,17.900000000000002,nan,68,3.45,3.45,27.607497985994417,7.1078065859861015,13.876685025035593,-26.49523530472761,2.49680939544954,602.8594846513251,68.94766243559356,37.41003097665328
6,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-258.4518455446163,15.641860961914062,CLEAR,387,19.35,nan,82,4.15,4.15,22.598463583562644,4.5007000642430315,15.856886847596869,-68.6523062616804,3.7319363799973355,1314.1131899908646,240.27361222867603,66.98026945187662
7,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-248.92155415186969,15.857233047485352,CLEAR,377,18.85,nan,68,3.45,3.45,22.743689527328,4.536468768425233,14.05573791877597,-85.10742420934217,3.134705550908617,1617.0550601396262,128.6296558813512,53.947951433371415
8,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-251.3671429358482,16.387813568115234,CLEAR,387,19.35,nan,70,3.5500000000000003,3.5500000000000003,19.295911154229234,4.320412358693356,14.049738855899623,-72.56142888290196,3.0348732852229263,1518.765634713497,88.27216519203112,47.07645556224677
9,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-223.96623457530785,14.516435623168945,CLEAR,350,17.5,nan,70,3.5500000000000003,3.5500000000000003,19.042186742819958,5.22647765141033,13.790264904194188,-31.528860840075,3.3044293574513337,607.5732867960394,186.71381715415302,56.97812861793609
10,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-254.0863325017919,14.006721496582031,CLEAR,380,19.0,nan,63,3.2,3.2,22.207379463266996,4.941084095876816,8.34179991764484,-25.203313881562714,3.514946982521826,577.8508871816372,205.2033876125981,60.078060364497816
11,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-251.14761522652208,4.956725597381592,DECISION,449,22.450000000000003,nan,78,3.95,3.95,30.41685963808413,5.673214629709141,13.530378991173972,-26.31531938724964,3.6831007856661038,573.5233043564378,262.8247260819831,65.60479735788104
12,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-238.41246140888404,17.6402587890625,CLEAR,336,16.8,nan,68,3.45,3.45,19.052085921755765,4.6340547752221095,15.873660248907738,-26.29850203786085,3.418440365198705,596.8208626033495,188.0152547254993,55.640745591339424
13,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-231.93436885168236,15.626297950744629,CLEAR,355,17.75,nan,75,3.8000000000000003,3.8000000000000003,18.466936798856374,4.858646925348122,16.086563710459128,-41.83482170095905,3.109260540382463,941.585611700751,99.46080183732784,50.22698821237044
14,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-220.80954135621954,4.737867832183838,DECISION,408,20.400000000000002,nan,81,4.1000000000000005,4.1000000000000005,28.48584508252232,6.278185114721943,17.079775145550887,-24.954232094733786,2.953520907457344,567.9423740282967,150.13253400085577,51.288281926458296
15,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-228.56493458516098,17.47068977355957,CLEAR,319,15.950000000000001,nan,78,3.95,3.95,22.089831491231504,4.931514219313956,14.82802062822425,-68.13693974357354,3.0972633807664236,1389.9180243337764,181.72611326905155,55.57781825328671
16,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-222.69504844520208,16.084550857543945,CLEAR,315,15.75,nan,69,3.5,3.5,23.128048575147357,5.362261457384166,15.223855383115819,-91.17490214798352,3.4478509172813663,1896.1141527991765,118.49001091913841,52.43141426583085
17,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-192.06259327810255,4.902537822723389,DECISION,356,17.8,nan,72,3.6500000000000004,3.6500000000000004,30.6338106492108,7.162234025502705,16.268519933557826,-26.54672475639276,2.4946816746203133,563.1577386990898,66.98743137246035,33.697287086806945
18,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-193.86320633417395,4.877256870269775,DECISION,351,17.55,nan,11,0.6000000000000001,0.6000000000000001,30.58869975073456,7.279196103876703,14.044132978038244,-26.23157600009176,2.9600112716750058,495.76979996403315,100.49816200861315,47.26347562746838
19,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-258.19758058715087,15.31748104095459,CLEAR,368,18.400000000000002,nan,64,3.25,3.25,22.754792815009942,4.789345947581098,18.079527740784545,-73.89423645549925,3.6953589370292623,1428.9349371665724,212.82767267793537,63.589062189885524
20,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-218.98968299999467,4.670845031738281,DECISION,366,18.3,nan,11,0.6000000000000001,0.6000000000000001,26.85584601312405,7.011692286117503,14.355576956885821,-25.775746765297843,3.8087928719653785,578.4705284580767,199.3653488440915,58.052563024253224
21,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-229.08083226003737,4.8895368576049805,DECISION,386,19.3,nan,11,0.6000000000000001,0.6000000000000001,26.791022397375247,6.592041212590724,14.062994794777218,-26.167291483848274,3.9242154564095135,593.9716576822804,260.6522846237167,66.40391403009714
22,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-233.88033829454554,17.23527717590332,CLEAR,311,15.55,nan,68,3.45,3.45,19.031432651892516,5.114569864761666,15.213817683460814,-68.30522791981261,3.6584246472080624,1446.190478802379,229.7885355268891,57.210619465493664
