episode,tag,env_module,env_class,model,success,crashed,timed_out,reward,goal_distance,final_phase,steps,completion_time_s,min_ttc,commit_step,commit_time_s,wait_time_before_commit_s,max_speed_kmh,mean_speed_kmh,max_accel_mps2,min_accel_mps2,mean_abs_accel_mps2,max_abs_jerk_mps3,p90_abs_jerk_mps3,mean_abs_jerk_mps3
0,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,False,True,False,-155.0618224693099,17.229644775390625,CLEAR,142,7.1000000000000005,nan,11,0.6000000000000001,0.6000000000000001,28.248875815269738,11.284484274324583,14.08782214643938,-26.179770602784547,3.0273569663870328,460.04888127565647,60.43474689605723,36.64373178640179
1,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-131.40002575763225,4.864402770996094,DECISION,175,8.75,nan,11,0.6000000000000001,0.6000000000000001,31.46519745832414,14.540427713343014,14.06696936977544,-26.387409257306686,2.622857276523619,520.3022107301276,64.71279835239712,32.93732077779083
2,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-130.66127857129848,4.777400970458984,DECISION,189,9.450000000000001,nan,11,0.6000000000000001,0.6000000000000001,32.535554424969135,13.532915489470655,14.022412503588592,-25.08681659414015,3.0974945115553014,522.0428601967175,95.52718359116668,44.02186134295002
3,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,False,True,False,-154.36175647848236,17.613351821899414,CLEAR,134,6.7,nan,11,0.6000000000000001,0.6000000000000001,26.555881040290302,11.582708126786311,13.960924865316652,-72.4316354950732,3.260473315132375,1373.9189082487992,53.65632138992164,46.735239454787774
4,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-128.57305692924848,4.702263832092285,DECISION,191,9.55,nan,11,0.6000000000000001,0.6000000000000001,30.114621582655417,13.369552037285496,14.080826247289268,-26.35068041332426,2.983442253741136,480.7770588004108,77.27912054299132,43.89163036196523
5,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-129.3610012894159,4.545381546020508,DECISION,180,9.0,nan,11,0.6000000000000001,0.6000000000000001,33.75794206421105,14.263687338581425,14.065391756369102,-25.61114932135169,2.9863118709092342,593.4291635064386,64.25162083736748,38.79285519372945
6,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-127.00136085088343,4.885167121887207,DECISION,184,9.200000000000001,nan,11,0.6000000000000001,0.6000000000000001,32.49413432811793,13.851607927701993,14.049946985674717,-24.59625013032716,2.83737821545312,471.3647991173241,80.68828237087007,38.005771215470936
7,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-131.5590607098552,4.796265602111816,DECISION,180,9.0,nan,11,0.6000000000000001,0.6000000000000001,33.19339964132646,14.176219338295189,14.037752057149554,-24.73727901849501,3.092527247007129,571.0941146166182,57.22081944244465,37.139397679738465
8,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,False,True,False,-149.52744738667468,17.4227352142334,CLEAR,138,6.9,nan,11,0.6000000000000001,0.6000000000000001,26.527633753653852,11.386930787116386,13.970415099099311,-104.23525994661954,3.397142874853434,2050.465118227672,72.38572136420612,53.17395720489129
9,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-130.80192051886007,4.578972816467285,DECISION,190,9.5,nan,11,0.6000000000000001,0.6000000000000001,33.35538164947107,13.488872039887333,13.991680180073596,-26.30966085637852,3.3658176359603216,452.37979475874556,69.89330807957462,40.40320011459097
10,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,False,True,False,-149.62178697260572,17.65726089477539,CLEAR,144,7.2,nan,11,0.6000000000000001,0.6000000000000001,27.981761813378384,10.800650536787922,13.825792498761672,-43.316753364935515,3.454543687301938,775.5025231244036,80.59291666886418,48.24484606113616
11,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-131.2802266389861,4.66904878616333,DECISION,170,8.5,nan,11,0.6000000000000001,0.6000000000000001,31.51123856954575,15.06743473554345,13.99240181647212,-25.173207573250398,2.3528993843447292,388.2006743634179,61.728636218828484,29.728696834764335
12,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-131.3929421185274,4.944703102111816,DECISION,177,8.85,nan,11,0.6000000000000001,0.6000000000000001,32.40082905730042,14.372493397206336,14.090722072949974,-26.312098990087915,2.983984687094931,625.3585448466473,50.15848054625454,32.082777102653935
13,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-123.37469102516955,4.852896213531494,DECISION,173,8.65,nan,11,0.6000000000000001,0.6000000000000001,32.8297269316213,14.726232760773973,13.997785629749062,-24.912098628311917,2.6900813933009182,383.63896222455423,66.93732150088998,33.150957377055995
14,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,False,True,False,-152.2758795846044,17.776235580444336,CLEAR,147,7.3500000000000005,nan,11,0.6000000000000001,0.6000000000000001,27.28557324020836,10.459717238947897,14.74397540653243,-85.53944221939847,3.7608558930941967,1664.754217610271,84.02949497595779,55.31842896984906
15,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-131.877365647313,4.764163970947266,DECISION,178,8.9,nan,11,0.6000000000000001,0.6000000000000001,31.96806105485974,14.333185160787973,14.024415838943463,-24.48617165410024,2.8247775071341055,552.902542841895,57.1481925718782,34.170048223763004
16,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-130.0097959911035,4.900852203369141,DECISION,165,8.25,nan,11,0.6000000000000001,0.6000000000000001,33.135430928978245,15.393937472228169,14.040422256945632,-25.543982062373537,2.5715426434832804,399.8533263467157,50.40912285835794,27.431585982970258
17,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-126.15853971200627,4.998753070831299,DECISION,186,9.3,nan,11,0.6000000000000001,0.6000000000000001,32.606405737040674,13.64435240840254,13.972440401355062,-22.86429736019392,2.9695057168864047,454.3345045973559,73.0381916460515,38.80373149454533
18,left_reward_tuned_30k_det,ppo_env_left_reward_tuned,CarlaPPOEnvTouchPhase,results/ppo/left_reward_tuned_30k/ppo_left_reward_tuned_30k.zip,True,False,False,-127.41891319340526,4.965744972229004,DECISION,188,9.4,nan,11,0.6000000000000001,0.6000000000000001,30.88539145716883,13.552079634570926,13.796823888147378,-21.493773460140428,2.8944536071707514,431.1781100427284,66.96107073420549,38.72654252705508
