success,crashed,time_s,max_speed_kmh,max_a_long_mps2,max_a_lat_mps2,max_jerk_mps3,rms_jerk_mps3,n_collisions,episode,agent,behavior,traffic_profile,mean_headway,burst_prob,n_oncoming,ego_spawn,ego_dest,oncoming_anchor,oncoming_dest
True,False,12.450000185519457,49.03595300489995,27.022340012166207,20.057084106079436,275.0136153971475,53.15200383958546,0,0,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
True,False,11.000000163912773,45.18861954342561,16.37274249306426,20.057084106079436,172.06057334980053,46.28331524035291,0,1,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
True,False,11.60000017285347,50.33136229435267,26.884349201590084,20.057084106079436,414.51562041633264,57.83510235150447,0,2,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
False,True,6.200000092387199,37.193510219914096,52.55116765125472,48.29634994217847,1475.52187242083,146.70328816382136,1,3,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
True,False,9.850000146776438,50.31495589778039,13.102920007772223,20.057084106079436,242.8177221510458,51.84775200772915,0,4,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
True,False,10.05000014975667,50.29162306700906,16.37274249306426,20.057084106079436,172.06057334980053,49.4640201485613,0,5,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
False,True,6.150000091642141,27.51928510380723,13.102920007772223,20.057084106079436,242.8177221510458,54.14055160266244,1,6,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
True,False,9.80000014603138,50.314746730763055,16.37274249306426,20.057084106079436,172.06057334980053,49.98756398344653,0,7,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
False,True,5.800000086426735,27.616944792092745,18.003920191446735,21.56437508083842,491.29700124511555,75.0983045866937,1,8,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
False,True,6.050000090152025,27.605403115867702,13.102920007772223,20.057084106079436,352.1072336748757,64.02114373937987,1,9,behavior,normal,aggressive,1.0,0.5,30,54,211,203,137
