success,crashed,time_s,max_speed_kmh,max_a_long_mps2,max_a_lat_mps2,max_jerk_mps3,rms_jerk_mps3,n_collisions,episode,agent,behavior,traffic_profile,mean_headway,burst_prob,n_oncoming,ego_spawn,ego_dest,oncoming_anchor,oncoming_dest
True,False,10.150000151246786,50.32932357975285,14.182444089700157,15.93094717907076,230.9606965582375,48.21700044135336,0,0,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,11.300000168383121,45.007745909694115,14.182444089700157,15.637966017607246,230.9606965582375,43.03768958465034,0,1,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.450000155717134,50.19609505826578,14.182444089700157,15.938969831033779,230.9606965582375,48.378877204290525,0,2,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,5.950000088661909,27.693906710667378,14.182444089700157,23.923076719607234,483.9077650451209,69.54587286536004,1,3,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,9.850000146776438,50.33337297831016,14.182444089700157,15.936169800137758,230.9606965582375,49.80969404079552,0,4,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,6.45000009611249,27.570607027061023,14.182444089700157,20.242365183009507,445.72469480257297,64.63177310953769,1,5,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,6.45000009611249,28.365324998248234,14.182444089700157,15.93094717907076,230.9606965582375,50.464383999569094,1,6,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.200000151991844,50.3404976296647,14.182444089700157,15.93094717907076,230.9606965582375,49.15814502762308,0,7,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,12.35000018402934,48.6059837873602,26.953551039843568,15.93094717907076,448.22190159200073,59.79946445781038,0,8,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,11.300000168383121,50.34972035257672,26.872651219598293,15.93094717907076,590.4381415239535,65.4628030372672,0,9,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.400000154972076,49.650797370935905,14.171581564273161,15.901076776224382,230.9606965582375,48.18592359019455,0,10,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,11.700000174343586,50.32138306404061,26.903914011754356,15.925117497734918,472.0347600425592,62.237772163597725,0,11,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,11.250000167638063,50.342823381071014,26.882624826120658,15.911815037805079,550.4693592108299,63.71213253016863,0,12,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,11.900000177323818,50.33050508871236,26.885574006026065,16.04546052640811,423.54789670507415,56.96911975538689,0,13,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.400000154972076,50.17884822505449,14.182444089700157,15.93094717907076,230.9606965582375,48.37113924568025,0,14,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.500000156462193,48.99974792049685,14.182444089700157,15.854597277771694,230.9606965582375,47.99110840682805,0,15,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,12.400000184774399,50.277249231477725,26.866148388161204,15.93094717907076,386.8756156255756,53.7429789934357,0,16,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,6.150000091642141,27.69658764569058,14.182444089700157,15.924431108530625,230.96069655089107,51.735293038588964,1,17,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,5.950000088661909,27.69954966591175,14.182444089700157,23.876682025420145,483.93873051065924,69.63989542238396,1,18,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.350000154227018,50.33661960379197,14.182444089700157,15.93094717907076,230.9606965582375,48.667211566869184,0,19,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.250000152736902,50.33152875546812,14.182444089700157,15.93094717907076,230.96069655099706,49.03827240068968,0,20,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.350000154227018,50.316536698445226,14.182444089700157,15.93094717907076,230.9606965582375,48.79702138215491,0,21,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,9.300000138580799,50.2760326588795,14.182444089700157,15.629358347840048,230.9606965582375,52.934537564888046,0,22,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,5.900000087916851,27.416891518960632,14.182444089700157,36.20878370950396,726.5498016631424,86.55663989877353,1,23,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,12.200000181794167,50.31693158276732,26.919947306555535,15.93094717907076,382.07227775298446,57.161384092962955,0,24,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.350000154227018,50.35338536944757,14.182444089700157,16.06204129518492,230.9606965582375,49.24819731681889,0,25,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,9.850000146776438,50.355592131630736,14.182444089700157,15.93094717907076,230.9606965582375,50.183259921025595,0,26,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,12.35000018402934,48.60875078770681,26.95494731951491,16.038157339403707,447.4853612889093,59.70444600321331,0,27,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,12.750000189989805,50.318417046288786,26.953551039843568,15.93094717907076,448.22190159200073,58.35876464058725,0,28,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,9.80000014603138,48.94122144875027,41.030097511752764,15.911815037805079,788.5716128258894,75.84330699665907,1,29,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,11.800000175833702,50.34441135761139,26.955293079176155,15.688174396698457,447.76277349499173,61.580035872217316,0,30,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,11.60000017285347,50.31866234131549,26.845881272736484,14.36908201010744,535.7669406210248,60.89722282940782,0,31,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.250000152736902,50.331025040742205,14.182444089700157,14.090518335483498,230.9606965582375,49.536540719218934,0,32,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,11.800000175833702,50.37315006296466,26.953551039843568,15.93094717907076,448.22190159200073,61.698701479591854,0,33,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,6.2500000931322575,30.017854566033726,26.881548269561904,18.73336832864585,716.9070738947479,83.94843749191918,1,34,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.350000154227018,50.31923588125912,14.182444089700157,15.93094717907076,230.9606965582375,48.692525947480256,0,35,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.30000015348196,50.338287688444616,14.182444089700157,15.93094717907076,230.9606965582375,49.473465746249566,0,36,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,6.45000009611249,27.698218357883697,14.182444089700157,17.569866969490555,386.306775207906,61.717797811245,1,37,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,7.300000108778477,30.259405287298968,28.48400467246097,24.933965630988826,694.8211367168179,97.01989971049038,1,38,behavior,normal,normal,0.6,0.25,30,54,211,203,137
False,True,6.45000009611249,27.43858476222586,14.182444089700157,15.68064808446286,320.8317826132323,58.05039355208887,1,39,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,12.400000184774399,50.337992885864026,26.952348487679938,15.93094717907076,447.3034906622932,60.18946959950231,0,40,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.400000154972076,49.8636959712646,14.182444089700157,15.344536743944294,230.9606965582375,47.9893761845136,0,41,behavior,normal,normal,0.6,0.25,30,54,211,203,137
True,False,10.500000156462193,50.34909146266385,14.182444089700157,15.93094717907076,230.9606965582375,47.95663377498208,0,42,behavior,normal,normal,0.6,0.25,30,54,211,203,137
