success,crashed,time_s,max_speed_kmh,max_a_long_mps2,max_a_lat_mps2,max_jerk_mps3,rms_jerk_mps3,n_collisions,episode,agent,behavior,traffic_profile,mean_headway,burst_prob,n_oncoming,ego_spawn,ego_dest,oncoming_anchor,oncoming_dest
True,False,6.000000089406967,29.59771405205813,15.255419931226026,16.952430725469043,219.15951639472968,53.84979542441675,0,0,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.502916980951902,15.255419931226026,16.952430725469043,219.15951639472968,53.83489610116557,0,1,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.898549044360536,15.255419931226026,16.952430725469043,219.15951639472968,54.837595668954876,0,2,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,6.2500000931322575,29.358984324947208,26.901845195523286,16.952430725469043,533.2060540274791,83.10217808786228,0,3,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,7.1000001057982445,29.813301659997578,26.9538495203989,16.952430725469043,449.88162338518316,73.49517552775698,0,4,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,4.450000066310167,26.010516821424478,138.66408684265681,16.952430725469043,2699.7227561834225,306.34445786321953,1,5,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.877808387300473,15.255419931226026,16.952430725469043,219.15951639472968,54.81611375351884,0,6,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,5.350000079721212,26.06105439111644,68.205106214021,16.952430725469043,827.662471215171,125.29620013066621,1,7,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,6.100000090897083,29.72216023250696,15.255419931226026,16.952430725469043,219.15951639472968,52.412005687396615,0,8,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,7.1000001057982445,29.8508596464448,26.953853559906435,16.952430725469043,449.5488786780858,72.33550402033485,0,9,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,7.250000108033419,29.931857879310964,26.99327778672028,16.952430725469043,395.2306832550634,67.48441925005696,0,10,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.900000087916851,29.468705547568607,14.450808384063546,16.952430725469043,184.2902003051338,53.16033207922275,0,11,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.877808387300473,15.255419931226026,16.952430725469043,219.15951639472968,54.81611375351884,0,12,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,4.6000000685453415,26.06105439111644,101.84784499140909,16.952430725469043,1981.7372502650228,223.3061004051488,1,13,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,8.150000121444464,30.076935593091775,26.99334861794723,16.952430725469043,394.6026766553332,62.56343432225636,0,14,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,6.550000097602606,29.830456371593527,27.01233546585848,16.952430725469043,580.3686161603952,76.90505438130269,0,15,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,6.850000102072954,29.735999704976866,26.86571460300452,16.952430725469043,617.7681285645752,81.93374271201326,0,16,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.900000087916851,29.340992757441573,15.506093411366823,16.952430725469043,167.9305220056376,54.25186199984905,0,17,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,7.050000105053186,29.61364902831191,27.013638043186507,16.952430725469043,387.68563091058024,70.45012851488342,0,18,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,4.6000000685453415,27.339765746405966,158.61477293334485,16.952430725469043,3178.276987039543,352.7501577740901,1,19,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.854599004061825,15.255419931226026,16.952430725469043,219.15951639472968,54.84578135044916,0,20,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,5.4500000812113285,26.06105439111644,104.10476079454504,16.952430725469043,2033.1595390393973,223.27132026576254,1,21,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,6.400000095367432,29.62896455602523,26.9987275334411,16.952430725469043,571.9476459733625,84.72944335696462,0,22,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,4.700000070035458,29.710041399277806,88.4088386726598,28.84867326833154,1944.6103083518199,217.94451909623285,1,23,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,6.850000102072954,29.523752669849046,26.972662657595922,16.952430725469043,638.6514317312004,82.10607911786838,0,24,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,6.000000089406967,29.554082123742376,15.506093411366823,16.952430725469043,167.9305220056376,52.48639002881789,0,25,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.877808387300473,15.255419931226026,16.952430725469043,219.15951639472968,54.81611375351884,0,26,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.877808387300473,15.255419931226026,16.952430725469043,219.1595163947248,54.816113753518664,0,27,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,7.600000113248825,30.03527455254953,27.014026390839508,16.952430725469043,285.34423171024076,61.63935537872237,0,28,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.900000087916851,29.493687700391714,14.379090677885609,16.952430725469043,182.84350324273373,52.96705818086313,0,29,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.366502090927266,18.406571426321864,16.952430725469043,367.7019564732677,61.711718762830785,0,30,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.877808387300473,15.255419931226026,16.952430725469043,219.15951639472968,54.81611375351884,0,31,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,4.6500000692903996,28.97947504656941,96.92911158454602,34.02893764884723,2113.906486003681,237.3270503111816,1,32,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,7.900000117719173,30.064174691359824,27.01286365518129,16.952430725469043,273.2615402471136,60.31838781068788,0,33,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,5.950000088661909,29.36260747546205,15.506093411366823,16.952430725469043,167.9305220056376,55.5442382074061,0,34,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,7.500000111758709,29.84420101733963,26.898688533081742,16.952430725469043,480.11242426791114,70.2382960808339,0,35,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,4.450000066310167,25.978915758485286,126.88075005317047,16.952430725469043,2466.4043802968254,281.6993436393571,1,36,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
True,False,6.3000000938773155,29.653754132604227,26.871633576958036,16.952430725469043,531.583045508886,78.61097157335881,0,37,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
False,True,4.450000066310167,26.010516821424478,65.48196260747436,16.952430725469043,1235.0459405291551,146.64776459159708,1,38,behavior,aggressive,aggressive,1.8,0.35,30,224,83,173,227
