success,crashed,time_s,max_speed_kmh,max_a_long_mps2,max_a_lat_mps2,max_jerk_mps3,rms_jerk_mps3,n_collisions,episode,agent,behavior,traffic_profile,mean_headway,burst_prob,n_oncoming,ego_spawn,ego_dest,oncoming_anchor,oncoming_dest
False,True,4.550000067800283,26.055876387142696,98.01555643901963,7.219165138123387,1883.434094000709,213.89461087066627,1,0,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.896539796723857,14.82858850778304,10.301066765897955,227.71279730281145,54.4476196121834,0,1,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,6.050000090152025,29.646285365045827,14.82858850778304,10.615693148290454,227.71279730281145,56.9412936017346,0,2,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,6.95000010356307,29.603212354457437,26.89916728805074,10.17386304101425,606.9530136687017,78.58714835606224,0,3,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
False,True,4.450000066310167,26.055876387142696,107.73011870073,18.235981710634015,2107.390010731855,240.96384631167362,1,4,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
False,True,4.500000067055225,26.055876387142696,54.773210631196996,7.219165138123387,1042.6906228367761,126.08783254123111,1,5,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.871533149726055,14.82858850778304,10.312129380813348,227.71279730281145,54.80358571224,0,6,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.84089762417971,14.82858850778304,10.75166771266911,227.71279730281145,54.57208777355771,0,7,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.87114690636946,14.82858850778304,10.312181628337411,227.71279730281145,54.80431351211387,0,8,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.488022887656882,14.82858850778304,11.419364873007702,227.71279730281145,54.65538802301979,0,9,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,6.900000102818012,29.765466082838035,26.84580190041385,8.243054338269674,623.9521477300993,78.16403259493553,0,10,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.87114690636946,14.82858850778304,10.312181628337411,227.71279730281145,54.80431351211387,0,11,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,7.350000109523535,29.938257963518776,26.934697245934483,9.085017602830906,450.2135046802651,72.8063009270599,0,12,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,7.350000109523535,29.93053809513279,26.846302747670336,7.558888391028319,290.4911247012313,62.03956400820401,0,13,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,6.400000095367432,29.64764148976116,26.99914299202703,10.837625541443973,571.5844925080913,83.93967100231588,0,14,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.86623911053329,14.82858850778304,10.282404264570118,227.71279730281145,55.58497205564259,0,15,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
False,True,4.500000067055225,26.055876387142696,106.08680121132838,17.174506248413376,2093.811974071557,238.00981752392866,1,16,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,7.000000104308128,29.716848982885743,26.97273599192562,10.02953467871101,397.35271979817816,71.6440695119763,0,17,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.87459186780564,14.82858850778304,10.370890921290888,227.71279730281145,56.33395151092052,0,18,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.87114690636946,14.82858850778304,10.312181628337411,227.71279730281145,54.80431351211387,0,19,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.87114690636946,14.82858850778304,10.312181628337411,227.71279730281145,54.80431351211387,0,20,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,7.600000113248825,29.783701742530212,26.958740858606298,8.3588619649697,407.8325687332235,67.34842519480638,0,21,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,7.200000107288361,29.978832344664706,26.862353561248817,8.903803680132734,357.89986865718146,65.13729064631902,0,22,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.938713465461667,14.82858850778304,10.089363482912207,227.71279730281145,54.12486214049671,0,23,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
False,True,4.500000067055225,26.055876387142696,27.950648958087235,7.219165138123387,451.60377071882795,71.9998633670689,1,24,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,6.000000089406967,29.284467600846426,14.82858850778304,10.300424741002063,227.71279730281145,55.18582590596087,0,25,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,5.950000088661909,29.73675043230334,14.82858850778304,10.229146821779063,227.71279730281145,54.779652394924845,0,26,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
True,False,7.650000113993883,29.59334627199738,26.90059168660292,10.31333485981832,494.8616097956231,69.68540819959107,0,27,behavior,aggressive,normal,1.0,0.25,30,224,83,173,227
