episode,scenario,reward,success,crashed,timed_out,stuck,steps,goal_distance,lane_offset_m,target_speed_kmh,failure_type,max_lane_offset,final_goal_distance,low_speed_ratio,high_traffic_ratio,notes
3,highway_merge,-70.40534235568434,False,True,False,False,187,51.38010025024414,1.33659029006958,37.680997252464294,lane_departure_early_collision,3.0194313526153564,51.38010025024414,0.18181818181818182,0.11764705882352941,max_lane_offset=3.019; final_goal_distance=51.380; low_speed_ratio=0.182; high_traffic_ratio=0.118
12,highway_merge,-69.380397308673,False,True,False,False,196,50.59136962890625,1.2709118127822876,37.48335465788841,lane_departure_early_collision,3.102651596069336,50.59136962890625,0.39285714285714285,0.09693877551020408,max_lane_offset=3.103; final_goal_distance=50.591; low_speed_ratio=0.393; high_traffic_ratio=0.097
15,highway_merge,-93.96818953472685,False,True,False,False,178,53.65675735473633,0.6841288805007935,41.48494228720665,lane_departure_early_collision,2.826143980026245,53.65675735473633,0.2752808988764045,0.24719101123595505,max_lane_offset=2.826; final_goal_distance=53.657; low_speed_ratio=0.275; high_traffic_ratio=0.247
16,highway_merge,-65.5778677984836,False,True,False,False,235,22.973190307617188,0.7180559635162354,45.0,closing_speed_or_gap_failure,3.2087574005126953,22.973190307617188,0.2765957446808511,0.17872340425531916,max_lane_offset=3.209; final_goal_distance=22.973; low_speed_ratio=0.277; high_traffic_ratio=0.179
21,highway_merge,-68.56803374975713,False,True,False,False,204,51.843284606933594,1.1380027532577515,45.0,lane_departure_early_collision,3.0499002933502197,51.843284606933594,0.36764705882352944,0.058823529411764705,max_lane_offset=3.050; final_goal_distance=51.843; low_speed_ratio=0.368; high_traffic_ratio=0.059
23,highway_merge,-59.63925333334809,False,True,False,False,221,23.475984573364258,0.6388916969299316,44.4777537882328,closing_speed_or_gap_failure,3.0113003253936768,23.475984573364258,0.18552036199095023,0.2398190045248869,max_lane_offset=3.011; final_goal_distance=23.476; low_speed_ratio=0.186; high_traffic_ratio=0.240
24,highway_merge,-70.65145682116156,False,True,False,False,219,24.251258850097656,0.5744751691818237,45.0,closing_speed_or_gap_failure,3.132622480392456,24.251258850097656,0.2146118721461187,0.2511415525114155,max_lane_offset=3.133; final_goal_distance=24.251; low_speed_ratio=0.215; high_traffic_ratio=0.251
30,highway_merge,-111.66362238466,False,True,False,False,162,49.69955062866211,1.277596116065979,38.698304146528244,lane_departure_early_collision,3.293630838394165,49.69955062866211,0.11728395061728394,0.19135802469135801,max_lane_offset=3.294; final_goal_distance=49.700; low_speed_ratio=0.117; high_traffic_ratio=0.191
31,highway_merge,-76.69764817205997,False,True,False,False,232,50.83480453491211,1.152466893196106,38.10183584690094,lane_departure_early_collision,2.8819098472595215,50.83480453491211,0.5,0.11206896551724138,max_lane_offset=2.882; final_goal_distance=50.835; low_speed_ratio=0.500; high_traffic_ratio=0.112
33,highway_merge,-93.4866978147233,False,True,False,False,178,49.030548095703125,1.0840123891830444,37.386288195848465,lane_departure_early_collision,3.224769115447998,49.030548095703125,0.1348314606741573,0.2808988764044944,max_lane_offset=3.225; final_goal_distance=49.031; low_speed_ratio=0.135; high_traffic_ratio=0.281
